차 | 茶, 車 | tea;<div>car</div>
튼튼하다 |  | to be strong, solid, healthy
명 | 名 | counter for people
권 | 卷 | counter for books
두껍다 |  | to be thick, heavy
마리 |  | counter for animals
술집 |  | bar, pub
접시 |  | plate, dish
장 | 張, 腸 | counter for sheets (of paper or similar material);<div>intestine</div>
영국 | 英國 | United Kingdom
한식 | 韓食 | Korean-style food
김치 |  | kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)
스파게티 |  | spaghetti
양식 | 洋食, 樣式, 良識, 養殖 | Western-style food;<br>style, pattern;<br>good sense;<br>culture, farming (of fish)
노래방 | --房 | karaoke bar
그녀 |  | she
간장 | -醬 | soy sauce
컵 |  | cup
따라가다 |  | to follow, go after, tag along
수첩 | 手帖 | (pocket) notebook, personal organizer
비빔밥 |  | boiled rice with assorted mixtures
군데 |  | place, spot
향수 | 香水, 鄕愁 | perfume, fragrance;<div>homesickness</div>
일식 | 日食, 日蝕 | Japanese-style food;<br>solar eclipse
된장 | -醬 | soy bean paste
후배 | 後輩 | one's junior (at school or workplace)
냉면 | 冷麵 | cold noodles
깜빡하다 |  | to forget, slip one's mind
싱겁다 |  | to be bland, not salty enough
육교 | 陸橋 | pedestrian overpass
보라색 |  | violet, purple
바닷가 |  | beach, seaside
주부 | 主婦 | housewife
크리스마스 |  | Christmas
어떻다 |  | to be the manner in which something is done
신분증 | 身分證 | ID card
김밥 |  | Korean dried seaweed rice rolls
소주 | 燒酒 | Korean hard liquor
장보다 | 場 | to go to market, go grocery shopping
사업가 | 事業家 | businessman
분홍색 | 粉紅色 | pink
지우개 |  | eraser, rubber
가요 | 歌謠 | song
드레스 |  | dress
상추 |  | lettuce
희다 |  | to be white, fair
양파 | 洋- | onion
잘리다 |  | to be cut, be fired
콩 |  | bean
따라오다 |  | to follow, come with
생물 | 生物 | living thing, creature
꽃집 |  | flower shop
손수건 | -手巾 | handkerchief
햇볕 |  | sunbeam, sunlight
송이 |  | counter for clusters of grapes, bunches of flowers and similar
손자 | 孫子 | grandson
손녀 | 孫女 | granddaughter
철 | 鐵 | iron, steel;<div>season;</div><div>discretion, [good] sense</div>
고정시키다 | 固定 | to fix, fasten, immobilize
홍콩 |  | Hong Kong
공휴일 | 公休日 | legal holiday, bank holiday
만년필 | 萬年筆 | fountain pen
심리학 | 心理學 | psychology
고백하다 | 告白 | to confess, admit
더듬다 |  | to grope, feel around
따라다니다 |  | to follow (somebody around), to chase
결말 | 結末 | ending, finish, conclusion
대기하다 | 待機 | to stand by, be waiting
실내 | 室內 | indoors
실외 | 室外 | outdoors
기후 | 氣候 | climate
가사 | 歌詞, 家事 | lyrics;<div>housework, chores</div>
후추 |  | black pepper
부동산 | 不動産 | real estate, property
치우다 |  | to tidy up, clean up, remove
식 | 式 | form, style;<div>ceremony</div>
무대 | 舞臺 | stage
붙다 |  | to stick to, adhere to
약혼 | 約婚 | engagement (before marriage)
배구 | 排球 | volleyball
집안일 |  | housework, housekeeping;<div>household affair</div>
한가하다 | 閑暇 | to be free, have leisure, have time to spare
소중하다 | 所重 | to be valuable, important, precious
구좌 | 口座 | (bank) account
언짢다 |  | to be upset, displeased
보장하다 | 保障 | to guarantee
장마 |  | rainy season, rainy spell
밀가루 |  | flour
사거리 | 四- | intersection, crossroads
차리다 |  | to set, prepare;<div>to pull oneself together</div>
입원하다 | 入院 | to be hospitalized
희한하다 | 稀罕 | to be strange, odd, unusual, rare
집집마다 |  | every house
막내 |  | youngest child (in a family)
네모 |  | square
영혼 | 靈魂 | soul
불쌍하다 |  | to be pitiful, pathetic, poor
채소 | 菜蔬 | vegetable
동그랗다 |  | to be round
빈칸 |  | blank space, blank column
점수 | 點數 | score, mark, grade
목적 | 目的 | purpose, aim, goal
장난감 |  | toy
매점 | 賣店 | snack stand, booth, cafeteria
허전하다 |  | to feel empty, lonesome
뿌리 |  | root
느끼하다 |  | to be greasy, oily
바치다 |  | to dedicate, offer, give
뉴욕 |  | New York
과외 | 課外 | private lessons, tutoring
승용차 | 乘用車 | passenger car
양 | 量, 羊 | quantity, amount;<div>sheep, lamb</div>
운반하다 | 運搬 | to transport, carry, convey
화산 | 火山 | volcano
온라인 |  | online
논리 | 論理 | logic
벌레 |  | bug, insect
빚내다 |  | to borrow money
망설이다 |  | to hesitate, be hesitant
횡재 | 橫財 | windfall
운 | 運 | luck, fortune, fate
몫 |  | share, portion
벌 | 罰 | punishment, penalty;<div>bee</div>
별것 | 別- | something peculiar
비상 | 非常 | emergency -
장비 | 裝備 | equipment, gear
돌 |  | stone, rock;<div>first birthday</div>
한잔하다 | -盞 | to have a drink
접속 | 接續 | access, connection
차라리 |  | rather, preferably
반년 | 半年 | half a year
겨우 |  | barely
마련하다 |  | to prepare, arrange
일어서다 |  | to stand up
소아과 | 小兒科 | pediatrics
약사 | 藥師 | pharmacist
디자인 |  | design
구멍 |  | hole
외투 | 外套 | overcoat
건너가다 |  | to cross, go across
회전하다 | 回轉/廻轉 | to turn, rotate, spin
구입하다 | 購入 | to purchase
야만적 | 野蠻的 | uncivilized, savage
주급 | 週給 | weekly pay [salary]
글자 | -字 | letter, character
천국 | 天國 | heaven, paradise
정직 | 正直, 停職 | honesty;<div>suspension</div>
원장 | 園長·院長 | director
무너지다 |  | to collapse, cave in
예금 | 預金 | deposit, savings
어쩌다가 |  | by chance;<div>once in a while</div>
재료 | 材料 | material, ingredient
각각 | 各各 | each, every
비겁하다 | 卑怯 | to be cowardly
임신하다 | 姙娠 | to be pregnant
국립 | 國立 | national -
사립학교 | 私立學校 | private school
교환하다 | 交換 | to exchange, trade
금년 | 今年 | this year
매번 | 每番 | every time, very often, always
악담하다 | 惡談 | to verbally abuse, speak ill of
신부 | 新婦, 神父 | bride;<div>Catholic priest</div>
익다 |  | to ripen, be ripe, be [well] cooked;<div>to be skilled, experienced, be familiar</div>
단도 | 短刀 | dagger, short sword
협박하다 | 脅迫 | to threaten, intimidate
도대체 | 都大體 | (what) on earth, in the world; at all
난리 | 亂離 | chaos, mess, war
팽창 | 膨脹 | expansion
쫓아가다 |  | to run after, pursue, keep up with
충돌 | 衝突 | collision, crash, impact
매달다 |  | to hang, suspend
상상력 | 想像力 | imagination
이리 |  | <div>here, this way;</div><div>wolf</div>
해고하다 | 解雇 | to fire, dismiss
꺼지다 |  | to be extinguished, go out;<div>to get lost, disappear (col.)</div>
중국집 | 中國- | Chinese restaurant
잘나다 |  | to be good, smart, distinguished
뒷줄 |  | back row
무사히 | 無事 | safely
결코 | 決- | never, by no means
옮기다 |  | to move, transfer
무술 | 武術 | martial arts
잔혹하다 | 殘酷 | to be cruel, heartless, ruthless
참외 |  | oriental melon
해산물 | 海産物 | seafood, marine products
재수 | 財數 | luck, fortune
실제로 | 實際- | in fact, actually
상당히 | 相當 | considerably, quite
영광 | 榮光 | honor, glory
남산 | 南山 | Namsan, Mt. Nam (in Seoul)
동대문 | 東大門 | Dongdaemun, the East Gate
변함없이 | 變- | still, as ever
명성 | 名聲 | reputation, fame
유지하다 | 維持 | to keep up, maintain
할리우드 |  | Hollywood
악명 | 惡名 | evil reputation, notoriety
멋지다 |  | to be splendid, lovely, nice
권한 | 權限 | rights, authority
저절로 |  | by itself, automatically
집다 |  | to pick up
저렴하다 | 低廉 | to be cheap
새우 |  | shrimp, prawn
레이더 |  | radar
오보 | 誤報 | false (incorrect) report
육감 | 六感 | sixth sense, gut feeling
굉장하다 | 宏壯 | to be wonderful, great, marvelous
여관 | 旅館 | inn
정원 | 庭園, 定員 | <div>garden, yard;</div><div>capacity, limit<br></div>
연결하다 | 連結 | to connect, link, attach
굴다 |  | to behave, act
목사님 | 牧師 | pastor, minister
쌍 | 雙 | pair
위층 |  | upstairs
부츠 |  | boots
재킷 |  | jacket
방송국 | 放送局 | broadcasting station
사은품 | 謝恩品 | free gift
스웨터 |  | sweater
스카프 |  | scarf
아래층 |  | downstairs
쉽게 |  | easily
재미있게 |  | interestingly, in a fun way
괴롭히다 |  | to harass, annoy, trouble
상점 | 商店 | store, shop
경호 | 警護 | guard
통 | 桶 | totally, not at all;<div>barrel, can, cask</div>
부족하다 | 不足 | to be lacking, not enough
닳다 |  | to wear out
다하다 |  | to run out, be used up, become exhausted
강력하다 | 强力 | to be strong, powerful
화염 | 火焰 | flame, blaze
의류 | 衣類 | clothing, clothes
갇히다 |  | to be locked (up), shut (in), confined
두드리다 |  | to knock, tap, rap;<div>to beat, strike</div>
짬 |  | free time
껄끄럽다 |  | to be uncomfortable, uneasy, strained
살피다 |  | to look over carefully
해치다 | 害 | to injure, harm, damage
약점 | 弱點 | weakness, weak point
개인적 | 個人的 | personal, individual
회 | 回, 灰, 膾 | time, round (count.);<div>lime;</div><div>raw fish</div>
구체적 | 具體的 | concrete, definite, specific
경쟁사 | 競爭社 | competitor, rival company
철저히 | 徹底 | thoroughly, completely
성별 | 性別 | sex, gender
아무튼 |  | anyway, in any case
어지럽다 |  | to be dizzy, feel giddy;<div>to be in disorder</div>
유치장 | 留置場 | jail, lockup, holding cell
고생하다 | 苦生 | to suffer, have a hard time, have trouble
상투적 | 常套的 | conventional, commonplace
당장 | 當場 | on the spot, immediately
마음대로 |  | as one pleases, at one's convenience
이모부 | 姨母夫 | mother's sister's husband
청순하다 | 淸純 | to be innocent, pure
극찬 | 極讚 | high praise, compliment
들리다 |  | to be heard, to hear;<div>to be lifted, be raised</div>
스치다 |  | to graze, brush (touch lightly)
번지다 |  | to spread, run
온기 | 溫氣 | warmth
달려들다 |  | to attack, jump at
게다가 |  | besides, on top of that
장례식 | 葬禮式 | funeral
도자기 | 陶瓷器 | ceramic ware, pottery
파혼하다 | 破婚 | to break off one's engagement
겁 | 怯 | fear, fright
챙기다 |  | to gather, pack;<div>to take care of;</div><div>to not forget</div>
실시하다 | 實施 | to implement, carry out
소비자 | 消費者 | consumer
규모 | 規模 | scale, scope
연세 | 年歲 | age (hon.)
엉터리 |  | rubbish, nonsense, fake, cheat
불량하다 | 不良 | to be poor, faulty
핑계 |  | excuse, pretext
정하다 | 定 | to decide, determine, choose
동침 | 同寢 | sleeping together, sharing a bed
권유하다 | 勸誘 | to advise, suggest, recommend
각오하다 | 覺悟 | to be determined, be prepared
꼬시다 |  | to chase (women), pick up (girls), hit on
넘어오다 |  | to come over, cross over;<div>to fall, come down</div>
두렵다 |  | to be fearful, afraid, frightened
소감 | 所感 | thoughts (on), impression
조회하다 | 照會 | to inquire, look up
찌르다 |  | to pierce, stab
망치 |  | hammer
패스하다 |  | to pass
기준 | 基準 | standard, criteria
샘 |  | spring, fountain;<div>jealousy</div>
갖추다 |  | to get ready, prepare
그러니까 |  | therefore, consequently
받아들이다 |  | to accept
현장 | 現場 | the actual spot, scene (of action), site
초대장 | 招待狀 | (written) invitation
동창회 | 同窓會 | alumni meeting, reunion
이어 |  | sequentially
아예 |  | from the beginning;<div>by any means</div>
근육 | 筋肉 | muscle
이성 | 理性, 異性 | reason, rationality;<div>the opposite sex</div>
둔하다 | 鈍 | to be dull, slow, stupid
설악산 | 雪嶽山 | Seoraksan (mountain)
영수증 | 領收證 | receipt
희생하다 | 犧牲 | to sacrifice
연장하다 | 延長 | to extend, renew
안방 | -房 | master bedroom
숙어 | 熟語 | idiom
달구다 |  | to heat (up)
거듭나다 |  | to reform, turn over a new leaf
떠맡다 |  | to take on, assume, undertake
세끼 |  | three meals (a day)
가위바위보 | -褓 | rock-paper-scissors
승자 | 勝者 | winner
따스하다 |  | to be warm
품 |  | bosom, breast;<div>work, labor</div>
선수 | 選手 | player, athlete
쌓이다 |  | to pile up, be stacked up
싱크대 | sink臺 | sink
온종일 | -終日 | all day long, the whole day
머릿속 |  | inside one's head, mind
불길하다 | 不吉 | to be unlucky, ominous
혁명 | 革命 | revolution
진정하다 | 眞正, 鎭靜 | to be true, real, genuine;<div>to calm down</div>
건네다 |  | to pass, hand over, deliver
포옹하다 | 抱擁 | to embrace, hug, cuddle
건설하다 | 建設 | to build, construct
노동자 | 勞動者 | worker, laborer
전하다 | 傳 | to convey, communicate, pass along
음악회 | 音樂會 | concert
통장 | 通帳 | bankbook, bank account
진하다 | 津 | <div>to be dark;</div>to be thick, strong, rich
기운 |  | energy, vigor, strength
감돌다 |  | to hang (in the air)
퇴원하다 | 退院 | to be discharged from the hospital
남몰래 |  | secretly
달콤하다 |  | to be sweet, sugary
우연히 | 偶然 | by chance, accidentally
모친 | 母親 | mother
부친 | 父親 | father
자책하다 | 自責 | to blame oneself, reproach oneself
해명하다 | 解明 | to explain (oneself), clarify
배려 | 配慮 | consideration, regard
소박하다 | 素朴 | to be simple (and honest)
물러서다 |  | to step back, back off
흘리다 |  | to spill, shed (tears, blood etc.)
껴안다 |  | to hug, embrace
활짝 |  | extensively, widely, fully
다정하다 | 多情 | to be affectionate, friendly, intimate
체포하다 | 逮捕 | to arrest
연기자 | 演技者 | actor, actress
코너 |  | corner
기록하다 | 記錄 | to record, write down;<div>to register</div>
야근하다 | 夜勤 | to work (overtime) at night
화제 | 話題 | topic, subject of conversation
최신 | 最新 | the newest, the latest
긁다 |  | to scratch, scrape
복권 | 福券, 復權 | lottery (ticket);<br>reinstatement
직관 | 直觀 | intuition
가정부 | 家政婦 | housekeeper
풍경 | 風景 | landscape, scenery
기호 | 嗜好, 記號 | taste, preference (for);<div>sign, symbol</div>
물결 |  | wave
종교 | 宗敎 | religion
승인 | 承認 | approval
비난하다 | 非難 | to criticize, attack, blame
떠들다 |  | to make noise, speak loudly
실업 | 失業, 實業 | unemployment;<div>industry, business</div>
곤란하다 | 困難 | to be difficult, tough;<div>to be embarrassing, awkward</div>
안타깝다 |  | to be heart-breaking, frustrating, regrettable
